"year","aemclass_2023","sex","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","10-14","15-19","20-24","25-29","NA","0-4","5-9","70-74","75-79","80-99"
"2015","(no data on location)","F",2,1,3,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015","(no data on location)","M",26,8,10,7,9,6,NA,2,1,1,1,14,1,NA,NA,NA,NA,NA
"2015","a","F",12,17,18,13,8,4,3,1,3,NA,13,25,NA,2,1,2,NA,NA
"2015","a","M",695,368,172,117,62,23,8,2,NA,21,333,952,6,1,2,1,2,1
"2015","angeles","F",NA,4,NA,1,1,NA,1,NA,1,NA,1,7,NA,NA,NA,NA,NA,NA
"2015","angeles","M",25,7,4,2,2,NA,1,NA,1,1,7,19,NA,NA,NA,NA,NA,NA
"2015","b","F",6,12,8,9,6,5,2,NA,3,1,4,13,1,NA,2,NA,NA,NA
"2015","b","M",332,182,72,33,23,12,5,3,1,8,172,452,3,1,1,NA,NA,NA
"2015","c","F",3,11,10,6,1,1,2,NA,2,1,NA,4,NA,1,NA,NA,NA,NA
"2015","c","M",153,82,27,17,10,6,1,NA,1,3,79,202,NA,NA,1,NA,NA,NA
"2015","cebu city","F",7,1,2,1,3,NA,NA,NA,NA,NA,10,4,NA,NA,1,NA,NA,NA
"2015","cebu city","M",81,45,29,26,7,7,3,NA,NA,4,68,152,NA,2,NA,NA,NA,NA
"2015","cebu province","F",3,1,1,1,1,1,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA
"2015","cebu province","M",42,18,14,6,3,NA,1,NA,NA,NA,22,66,NA,NA,NA,NA,NA,NA
"2015","ncr","F",24,23,27,14,10,5,6,2,2,3,9,23,1,1,2,1,NA,NA
"2015","ncr","M",1935,1039,429,313,120,59,20,10,NA,42,665,1964,48,4,3,1,2,NA
"2015","Total","-",3346,1819,826,569,267,130,54,21,15,85,1386,3901,60,12,13,5,4,1
"2016","(no data on location)","F",2,2,1,5,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"2016","(no data on location)","M",35,18,9,7,9,6,2,NA,1,1,3,20,NA,NA,NA,2,NA,NA
"2016","a","F",18,17,21,12,10,3,4,1,2,4,18,33,NA,3,3,2,NA,NA
