"year","aemclass_2023","sex","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","10-14","15-19","20-24","25-29","0-4","5-9","70-74","75-79","80-99","NA"
"2015","(no data on location)","F",2,1,3,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015","(no data on location)","M",26,7,9,7,9,6,NA,2,1,1,1,14,NA,NA,NA,NA,NA,NA
"2015","a","F",11,15,18,13,8,4,3,1,3,NA,11,23,2,1,1,NA,NA,NA
"2015","a","M",647,346,157,109,60,21,7,2,NA,21,300,891,1,2,1,2,1,6
"2015","angeles","F",NA,4,NA,1,1,NA,1,NA,1,NA,1,7,NA,NA,NA,NA,NA,NA
"2015","angeles","M",24,7,4,2,2,NA,1,NA,1,1,7,19,NA,NA,NA,NA,NA,NA
"2015","b","F",6,12,8,9,4,5,2,NA,2,1,4,13,NA,2,NA,NA,NA,1
"2015","b","M",317,171,68,33,22,10,5,3,1,8,167,417,1,1,NA,NA,NA,3
"2015","c","F",3,11,9,5,1,1,2,NA,2,1,NA,4,1,NA,NA,NA,NA,NA
"2015","c","M",146,79,24,16,10,6,1,NA,1,3,74,192,NA,1,NA,NA,NA,NA
"2015","cebu city","F",4,1,2,1,3,NA,NA,NA,NA,NA,5,4,NA,1,NA,NA,NA,NA
"2015","cebu city","M",72,37,22,19,5,5,3,NA,NA,4,58,129,2,NA,NA,NA,NA,NA
"2015","cebu province","F",3,1,1,1,1,1,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA
"2015","cebu province","M",39,16,13,5,3,NA,1,NA,NA,NA,19,60,NA,NA,NA,NA,NA,NA
"2015","ncr","F",22,21,23,12,10,5,6,2,2,2,8,22,1,1,NA,NA,NA,1
"2015","ncr","M",1696,931,398,286,105,52,18,9,NA,38,590,1720,4,3,1,1,NA,48
"2015","Total","-",3018,1660,759,522,245,117,51,20,14,80,1246,3519,12,12,3,3,1,59
"2016","(no data on location)","F",2,1,1,5,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"2016","(no data on location)","M",33,17,9,7,9,6,2,NA,1,1,3,18,NA,NA,2,NA,NA,NA
"2016","a","F",15,16,18,11,10,3,4,1,1,4,18,32,3,2,2,NA,NA,NA
"2016","a","M",1127,591,240,166,90,30,13,4,NA,49,541,1371,4,1,2,3,NA,NA
"2016","angeles","F",4,5,NA,1,1,NA,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"2016","angeles","M",37,14,8,NA,4,1,1,1,NA,2,14,34,NA,NA,NA,NA,NA,NA
"2016","b","F",10,10,12,11,4,7,3,NA,3,2,14,21,1,2,NA,NA,NA,NA
"2016","b","M",574,300,111,62,29,11,8,5,1,19,246,704,3,1,2,NA,NA,NA
"2016","c","F",7,11,13,4,2,1,NA,1,1,2,2,4,1,NA,1,NA,NA,NA
"2016","c","M",234,109,53,26,12,4,2,NA,1,5,118,325,NA,1,NA,NA,NA,NA
"2016","cebu city","F",11,1,2,2,1,NA,NA,NA,1,1,8,5,NA,NA,NA,NA,NA,NA
"2016","cebu city","M",131,72,36,30,14,7,3,2,NA,11,107,206,2,NA,NA,NA,NA,NA
"2016","cebu province","F",1,2,2,1,1,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA
"2016","cebu province","M",68,29,19,8,6,2,NA,1,NA,3,33,79,1,NA,NA,NA,NA,NA
"2016","ncr","F",38,27,29,19,9,6,1,4,NA,5,11,27,NA,3,2,NA,NA,NA
"2016","ncr","M",2431,1405,548,404,153,80,26,12,NA,49,805,2337,5,4,2,1,NA,NA
"2016","Total","-",4723,2610,1101,757,346,159,65,32,9,153,1922,5174,20,14,13,4,NA,NA
"2017","(no data on location)","F",NA,1,1,5,2,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
