"year","sex","0-5","11-15","16-20","21-25","26-30","31-35","36-40","41-45","46-50","51-55","56-60","6-10","61-65","66-70","71-75","NA","76-80","81-85"
"2015","F",5,11,7,52,69,68,70,68,39,32,14,6,12,5,1,2,NA,NA
"2015","M",10,4,181,1866,4004,2994,1450,694,445,187,97,6,39,11,3,58,3,1
"2015","Total",15,15,188,1918,4073,3062,1520,762,484,219,111,12,51,16,4,60,3,1
"2016","F",6,7,20,66,114,92,82,75,49,26,18,9,13,5,4,NA,NA,NA
"2016","M",16,5,302,2648,5602,4430,2245,935,663,286,131,6,43,26,4,NA,3,NA
"2016","Total",22,12,322,2714,5716,4522,2327,1010,712,312,149,15,56,31,8,NA,3,NA
"2017","F",13,8,31,111,140,121,109,87,71,32,19,8,13,9,4,NA,NA,NA
"2017","M",27,4,536,3757,7435,6134,3230,1288,852,396,178,13,68,30,12,4,3,NA
"2017","Total",40,12,567,3868,7575,6255,3339,1375,923,428,197,21,81,39,16,4,3,NA
"2018","F",11,6,46,147,211,176,129,113,81,51,28,15,18,10,3,2,1,NA
"2018","M",34,11,738,5087,9737,8438,4567,1809,1043,549,238,16,104,41,19,94,5,NA
"2018","Total",45,17,784,5234,9948,8614,4696,1922,1124,600,266,31,122,51,22,96,6,NA
"2019","F",19,8,54,204,308,238,163,130,89,58,44,22,24,8,6,7,1,NA
"2019","M",41,13,863,6466,11986,10883,6085,2485,1361,738,301,27,148,44,20,154,5,1
"2019","Total",60,21,917,6670,12294,11121,6248,2615,1450,796,345,49,172,52,26,161,6,1
"2020","F",25,7,58,237,402,346,227,170,121,74,59,18,27,10,7,12,NA,NA
"2020","M",34,14,650,6592,12777,12496,7282,3100,1452,905,360,29,160,58,22,161,5,1
"2020","Total",59,21,708,6829,13179,12842,7509,3270,1573,979,419,47,187,68,29,173,5,1
"2021","F",30,9,69,264,453,420,289,201,138,92,64,24,35,14,5,NA,4,NA
"2021","M",33,16,774,7316,14389,14760,9065,4119,1730,1098,495,33,206,73,40,37,8,1
"2021","Total",63,25,843,7580,14842,15180,9354,4320,1868,1190,559,57,241,87,45,37,12,1
"2022","F",32,17,71,306,542,512,372,219,166,116,75,33,37,19,6,NA,5,NA
"2022","M",37,23,1125,8786,16834,17706,11135,5375,2125,1280,619,38,228,106,36,3,12,2
"2022","Total",69,40,1196,9092,17376,18218,11507,5594,2291,1396,694,71,265,125,42,3,17,2
"2023","F",44,27,96,340,647,645,428,301,219,136,93,42,41,23,8,NA,6,NA
"2023","M",42,37,1490,10057,19433,20557,14007,7029,2674,1533,801,56,299,129,51,2,19,5
"2023","Total",86,64,1586,10397,20080,21202,14435,7330,2893,1669,894,98,340,152,59,2,25,5
